A,E,H,F,B,G,C
I,0.2875,0.0805,128.0,405.0,63.0,0.25
I,316.0,0.0925,0.1385,415.0,0.0795,325.0
I,0.3675,0.0985,0.1865,425.0,0.0675,315.0
I,0.3675,105.0,0.1675,0.43,102.0,0.32
I,346.0,95.0,159.0,435.0,84.0,325.0
M,0.4955,129.0,0.2575,0.45,82.0,0.33
I,0.4675,0.1375,0.2125,0.46,99.0,0.35
M,522.0,145.0,0.2395,0.47,0.1525,365.0
I,441.0,145.0,167.0,0.47,0.0865,375.0
I,0.5185,0.1365,268.0,475.0,0.1095,365.0
M,653.0,167.0,0.3315,505.0,0.1385,0.39
M,0.5915,185.0,288.0,505.0,0.1315,395.0
M,0.4825,0.1535,0.21,505.0,0.1035,385.0
I,0.6855,0.2035,0.2875,0.51,154.0,455.0
M,0.6335,168.0,288.0,515.0,145.0,0.4
M,0.6875,0.1765,0.3435,525.0,0.1495,0.41
F,741.0,196.0,325.0,0.53,0.1855,0.43
F,0.6355,185.0,0.2635,0.53,0.1565,405.0
M,0.8395,0.2385,356.0,545.0,0.1905,0.44
F,0.9205,0.2675,381.0,0.55,0.2435,0.47
F,0.8215,253.0,342.0,0.56,184.0,0.41
M,0.9255,0.2475,0.4345,565.0,212.0,445.0
F,0.8295,245.0,0.3875,0.57,156.0,435.0
M,1063.0,0.2625,513.0,0.58,0.2705,0.46
M,1115.0,275.0,0.5165,0.59,273.0,465.0
F,837.0,0.2425,0.37,0.6,177.0,0.45
M,982.0,295.0,0.4295,605.0,0.2085,445.0
M,1112.0,341.0,465.0,0.61,228.0,0.49
F,1.3485,0.3925,0.5255,625.0,252.0,515.0
M,1.5655,386.0,0.7345,0.66,353.0,515.0
I,86.0,25.0,0.04,255.0,0.0185,0.19
I,0.1065,0.0285,0.0475,0.27,0.0225,195.0
I,132.0,33.0,72.0,0.28,22.0,215.0
I,0.1075,27.0,51.0,285.0,0.0225,215.0
I,0.1745,57.0,72.0,0.32,33.0,255.0
I,152.0,54.0,0.0565,325.0,0.0305,0.24
I,0.2755,0.0725,0.1305,385.0,61.0,0.28
I,293.0,82.0,0.14,395.0,62.0,295.0
F,368.0,105.0,173.0,0.4,0.0705,305.0
I,312.0,87.0,138.0,405.0,0.06,0.31
I,336.0,0.0805,165.0,415.0,76.0,305.0
I,355.0,87.0,0.1895,0.42,65.0,315.0
I,379.0,0.11,162.0,0.44,91.0,305.0
I,378.0,0.12,152.0,445.0,0.0825,0.32
M,0.4655,135.0,0.2075,0.45,0.1045,0.35
F,594.0,0.1335,332.0,455.0,116.0,355.0
M,0.4935,132.0,0.2435,0.46,0.1175,345.0
M,0.4595,116.0,235.0,0.46,0.0885,345.0
M,0.4955,121.0,0.2665,465.0,85.0,0.36
I,0.4325,0.1275,0.2005,465.0,74.0,355.0
F,689.0,0.1955,0.3165,475.0,0.1315,0.38
I,0.5465,158.0,0.2735,0.48,0.0995,0.35
M,617.0,0.1635,0.25,485.0,0.1345,0.39
I,538.0,139.0,271.0,0.49,0.1035,0.37
M,0.7815,0.2385,361.0,0.5,0.1575,0.39
F,0.6355,0.1785,277.0,0.5,143.0,0.38
M,0.6435,0.1515,0.3135,505.0,149.0,385.0
M,0.5115,0.1455,246.0,525.0,0.1005,385.0
M,738.0,0.1795,355.0,535.0,0.1895,0.42
F,699.0,0.2035,0.3125,535.0,0.1565,0.42
F,0.7655,0.2365,0.3265,0.54,116.0,385.0
F,0.7505,0.1845,368.0,0.54,0.1675,0.42
F,844.0,231.0,0.3945,545.0,0.1855,0.43
M,0.8705,213.0,0.4455,0.55,0.2115,0.41
I,668.0,209.0,0.2925,0.55,137.0,0.42
F,0.83,238.0,393.0,565.0,0.1735,0.44
M,0.8685,0.2605,418.0,0.58,0.1475,0.45
F,839.0,192.0,0.3485,0.58,207.0,435.0
F,1079.0,356.0,0.4145,585.0,0.2115,485.0
M,919.0,262.0,0.4335,595.0,0.1765,465.0
F,1.1345,0.3375,492.0,0.6,0.2595,0.47
F,909.0,0.22,438.0,0.61,0.2,0.43
M,1.2435,372.0,0.5575,0.61,0.2675,0.48
F,1056.0,0.2725,493.0,0.62,244.0,0.49
M,1.2095,339.0,603.0,645.0,0.2225,495.0
M,1238.0,0.32,0.6165,0.65,0.2355,0.5
F,1644.0,0.4275,818.0,665.0,0.3395,525.0
M,1.7725,0.49,813.0,685.0,387.0,0.55
F,1.2525,462.0,0.73,0.69,0.3975,0.54
F,1761.0,488.0,747.0,705.0,0.3725,0.57
F,1.3165,0.28,0.6835,0.71,0.2815,0.5
M,1914.0,479.0,0.9155,0.72,448.0,585.0
