A,E,H,F,B,G,D,I
F,1807.0,515.0,0.8225,0.68,0.3655,0.19,11
M,1777.0,0.4305,769.0,0.69,0.38,195.0,11
M,2173.0,496.0,1133.0,695.0,0.4665,205.0,10
F,2.1505,585.0,1.0745,0.72,382.0,195.0,10
I,118.0,0.0305,59.0,0.27,31.0,75.0,4
I,99.0,0.03,0.0445,0.27,17.0,0.06,5
I,0.1365,35.0,0.0575,295.0,0.0295,0.07,6
I,0.1295,35.0,52.0,295.0,28.0,65.0,6
I,164.0,45.0,0.0625,315.0,0.04,0.07,6
I,0.2875,0.08,123.0,375.0,0.0605,95.0,6
I,277.0,82.0,0.1655,0.38,0.0625,0.09,6
I,248.0,0.07,0.0935,385.0,66.0,0.09,6
I,252.0,66.0,0.1105,0.4,0.0575,95.0,6
M,0.4015,97.0,199.0,415.0,87.0,0.12,8
I,0.3905,0.1025,0.1925,415.0,0.0755,0.1,7
I,409.0,105.0,0.2055,0.42,0.0935,115.0,8
I,0.4095,119.0,163.0,0.44,0.1005,135.0,6
I,494.0,0.1405,0.2205,0.45,0.0945,135.0,7
I,0.4905,135.0,0.2035,475.0,0.13,0.12,7
M,599.0,169.0,251.0,485.0,0.1345,0.12,8
M,0.6245,155.0,282.0,495.0,143.0,115.0,6
F,0.7745,0.18,416.0,525.0,163.0,115.0,7
M,0.9795,275.0,444.0,565.0,205.0,0.15,8
I,0.8915,0.2515,363.0,0.58,0.1925,0.15,6
F,874.0,225.0,0.3545,585.0,0.2075,125.0,6
M,1262.0,0.33,0.6245,0.6,0.2455,155.0,10
M,1.21,322.0,0.53,0.63,0.2555,185.0,11
F,1.37,0.34,0.6135,645.0,283.0,0.17,10
F,1759.0,547.0,0.6865,655.0,313.0,185.0,11
M,1.3855,0.3445,621.0,665.0,302.0,165.0,8
F,1.8065,0.5055,758.0,0.67,0.3735,195.0,11
M,1.5945,0.4505,0.6705,0.67,0.3845,0.2,10
M,1.4545,0.3725,0.6315,685.0,0.3105,0.18,9
M,2003.0,0.5755,0.8105,0.7,0.4045,0.23,10
M,2.2385,621.0,984.0,0.72,411.0,235.0,12
I,32.0,0.01,11.0,185.0,0.0065,45.0,4
I,0.0785,0.02,0.04,245.0,18.0,55.0,5
I,134.0,0.3505,0.0575,315.0,0.0285,0.0,6
I,0.2075,62.0,98.0,0.36,39.0,0.09,6
I,0.2235,55.0,115.0,375.0,43.0,0.08,6
I,0.34,83.0,181.0,415.0,57.0,95.0,6
I,0.5365,0.1325,0.2855,455.0,0.0855,135.0,7
I,635.0,135.0,352.0,0.48,127.0,105.0,6
I,562.0,0.1525,0.2505,485.0,0.1345,125.0,8
I,597.0,0.1555,293.0,0.51,0.1265,125.0,8
M,0.5815,0.17,0.2565,0.52,0.1265,125.0,10
F,0.7545,0.2015,0.3525,555.0,0.1835,0.14,9
M,0.98,247.0,0.4315,585.0,0.2545,0.15,9
F,1.0035,0.2515,503.0,585.0,0.2105,0.15,11
M,1133.0,305.0,0.5515,585.0,223.0,155.0,12
M,1146.0,265.0,597.0,0.61,246.0,0.16,8
M,1142.0,245.0,0.62,0.61,237.0,0.15,9
M,1.12,286.0,0.5775,615.0,0.2095,0.17,9
F,1011.0,255.0,479.0,0.62,0.2385,0.14,8
M,1131.0,323.0,0.5425,625.0,0.2265,175.0,8
M,1065.0,285.0,0.4865,625.0,259.0,175.0,10
M,1181.0,225.0,665.0,635.0,229.0,145.0,10
F,1382.0,0.37,646.0,0.64,0.3115,175.0,9
M,1.4385,178.0,0.6775,0.66,285.0,0.19,11
M,1.2275,0.3,0.61,0.66,274.0,155.0,8
M,1.4415,335.0,0.7055,0.66,0.3555,155.0,10
F,1473.0,0.4295,713.0,0.68,282.0,175.0,11
F,1658.0,0.4715,708.0,0.69,0.3615,195.0,10
M,1.7475,0.4705,0.8215,0.72,383.0,195.0,11
I,96.0,0.03,37.0,275.0,0.0225,0.07,6
I,0.1445,0.0505,58.0,0.33,32.0,65.0,6
I,0.1965,55.0,0.0915,0.33,0.0425,85.0,7
I,196.0,0.0605,0.0865,365.0,36.0,0.09,7
I,0.2155,0.0655,0.1005,365.0,49.0,0.09,6
I,0.2805,0.0925,0.1125,0.42,0.0615,0.1,8
I,334.0,0.0965,0.1355,435.0,0.0775,0.11,7
I,366.0,109.0,174.0,435.0,0.0725,0.1,7
I,0.4965,0.1075,258.0,0.44,0.1195,0.11,8
I,651.0,0.18,0.3165,485.0,132.0,0.09,8
I,0.5125,172.0,0.2075,495.0,0.1155,125.0,10
M,0.6925,0.1805,327.0,0.51,155.0,125.0,7
I,0.5995,182.0,242.0,0.52,0.1375,0.14,11
I,0.74,0.1985,0.3595,0.54,159.0,0.14,8
I,702.0,0.19,322.0,0.54,167.0,155.0,10
I,672.0,0.21,288.0,0.55,0.1365,125.0,11
I,811.0,235.0,0.3685,0.56,178.0,155.0,11
F,0.9585,275.0,447.0,575.0,169.0,0.12,12
I,858.0,215.0,449.0,575.0,166.0,0.15,10
F,0.9575,236.0,0.4815,575.0,0.1945,165.0,10
F,926.0,275.0,0.4025,0.58,208.0,135.0,8
F,873.0,239.0,0.3615,0.58,249.0,155.0,10
M,998.0,301.0,445.0,0.59,214.0,0.16,9
M,0.6655,269.0,285.0,0.6,149.0,155.0,11
M,1003.0,0.28,0.4655,0.62,0.2195,145.0,11
F,1234.0,0.35,0.6335,625.0,192.0,0.16,13
M,1025.0,0.34,0.46,625.0,0.1945,155.0,9
M,1.2935,355.0,0.5805,625.0,317.0,175.0,9
M,1.0565,305.0,0.4615,625.0,258.0,175.0,10
M,1.7855,0.3245,675.0,625.0,247.0,145.0,13
F,1.2255,0.36,0.5075,625.0,296.0,165.0,10
F,1.2565,0.35,539.0,635.0,292.0,0.18,10
F,1159.0,0.31,0.4675,645.0,0.3355,0.15,9
M,1403.0,0.4545,0.5755,645.0,0.2515,165.0,11
F,1826.0,499.0,797.0,0.69,409.0,185.0,11
F,1.7715,437.0,0.8195,695.0,331.0,185.0,10
M,0.6125,0.1415,302.0,515.0,0.1365,0.12,8
I,658.0,174.0,327.0,545.0,0.1445,0.13,8
M,911.0,278.0,375.0,0.62,0.2145,145.0,10
M,1.1955,0.3,0.5845,0.63,257.0,0.15,9
F,1336.0,0.35,553.0,0.63,0.3205,0.16,11
F,1.36,305.0,653.0,0.64,347.0,0.18,9
I,0.2325,72.0,93.0,0.37,56.0,0.08,6
I,317.0,0.0935,153.0,395.0,0.0505,85.0,7
I,318.0,0.0935,0.1335,0.4,0.0725,115.0,6
I,0.2645,85.0,0.1,0.41,0.0655,0.1,7
I,0.4055,0.1185,175.0,455.0,92.0,105.0,8
I,524.0,145.0,246.0,0.48,0.1095,125.0,7
I,464.0,149.0,0.2015,485.0,0.09,0.11,8
I,439.0,0.1305,0.1875,0.5,0.1055,0.12,8
I,0.5805,0.19,0.2365,515.0,0.1075,125.0,9
I,622.0,169.0,278.0,0.52,0.1455,0.14,8
M,0.7805,216.0,0.3795,545.0,0.1625,0.15,8
I,772.0,0.2615,289.0,545.0,0.19,0.14,8
I,741.0,206.0,348.0,0.55,0.1585,125.0,9
M,0.8265,225.0,0.4405,0.55,159.0,0.18,10
M,0.7275,0.19,343.0,0.55,0.1625,0.13,8
I,0.7005,0.2095,0.3395,555.0,0.1355,125.0,8
M,0.9355,0.2725,425.0,0.56,0.1645,145.0,11
I,1.1815,0.3095,581.0,565.0,0.2215,0.15,9
M,1.0145,0.3,516.0,0.57,164.0,0.16,10
F,1.1,0.31,506.0,575.0,0.2485,0.17,10
M,1218.0,0.3,639.0,585.0,241.0,0.16,11
M,874.0,0.24,369.0,0.59,0.2135,155.0,8
I,984.0,0.2755,0.4865,595.0,184.0,155.0,10
M,1.0105,298.0,423.0,0.6,219.0,0.13,9
M,1.0765,0.27,488.0,0.61,249.0,155.0,9
M,1337.0,0.37,0.5995,615.0,0.2815,205.0,11
M,1.3705,0.3705,645.0,625.0,303.0,0.18,12
F,1.7015,0.3855,0.7465,625.0,0.4105,0.19,11
M,1.2435,0.37,0.5175,0.63,308.0,0.18,11
M,1.4135,0.3555,667.0,0.63,0.2945,175.0,13
F,1073.0,0.35,467.0,635.0,0.1975,155.0,11
F,1477.0,0.39,684.0,635.0,0.3005,175.0,12
M,1.2915,0.37,594.0,635.0,0.2695,0.18,9
F,1.3105,355.0,577.0,0.65,0.3315,0.16,9
M,1.4915,381.0,728.0,0.67,343.0,0.18,9
F,1494.0,0.37,0.7365,675.0,0.3055,175.0,9
F,1.1965,386.0,475.0,675.0,304.0,0.15,11
M,1672.0,0.48,0.7075,0.68,364.0,185.0,11
M,1.9125,506.0,0.8825,0.7,0.4385,215.0,10
F,1907.0,475.0,0.8725,0.71,0.4565,175.0,11
F,1.79,0.5385,844.0,715.0,0.3535,0.18,9
F,1.7495,0.48,0.7755,0.72,0.4225,205.0,11
I,0.3415,86.0,0.1645,0.42,0.0775,0.1,7
I,519.0,126.0,0.2365,0.48,0.1275,0.1,7
M,0.5305,139.0,0.2405,0.48,127.0,0.13,8
M,1.2825,0.3795,569.0,0.51,291.0,155.0,9
I,0.7165,0.1785,0.3495,515.0,0.1595,0.14,8
F,1.6645,0.4525,0.7755,0.56,0.35,0.18,9
I,837.0,0.2,414.0,0.56,214.0,0.14,8
F,0.9645,209.0,531.0,0.57,189.0,0.15,9
F,1.1,0.2585,547.0,605.0,0.2665,155.0,10
M,1.2415,0.2785,0.6575,625.0,0.2625,0.16,9
F,1.3185,0.3315,0.6185,0.64,302.0,175.0,9
M,1.3455,0.3865,586.0,0.65,278.0,185.0,9
I,0.1185,42.0,48.0,0.3,0.0225,0.05,4
M,197.0,77.0,73.0,0.35,0.0365,0.09,7
I,0.4725,0.15,215.0,455.0,0.0745,0.13,9
I,0.4495,0.15,0.1755,0.46,102.0,0.11,8
I,557.0,0.1765,0.2275,0.49,0.1335,115.0,8
I,516.0,165.0,197.0,0.5,0.1305,0.12,8
I,709.0,185.0,0.3195,0.54,174.0,135.0,9
M,0.7385,252.0,321.0,0.55,0.1485,145.0,11
I,0.7935,0.26,378.0,0.55,142.0,0.11,10
M,0.9205,255.0,404.0,555.0,0.2275,145.0,8
I,0.7655,0.24,331.0,0.57,0.14,0.14,10
M,824.0,263.0,0.3465,0.58,0.1765,0.14,10
I,0.83,0.2575,379.0,0.58,0.1605,145.0,11
I,985.0,315.0,0.3695,585.0,0.2395,0.17,10
M,997.0,251.0,0.4055,585.0,283.0,0.15,11
F,914.0,271.0,0.3895,595.0,0.2225,0.14,9
F,1.13,335.0,0.4405,0.6,267.0,0.17,11
F,1.0805,0.32,0.52,615.0,0.19,155.0,9
M,1105.0,325.0,492.0,0.63,226.0,155.0,11
M,1229.0,335.0,535.0,0.63,0.29,155.0,11
F,1.2355,347.0,0.5205,635.0,0.3085,175.0,10
F,1.2395,424.0,468.0,645.0,0.2385,0.19,10
F,1357.0,0.43,0.5725,0.65,281.0,165.0,11
M,1402.0,365.0,624.0,655.0,0.2935,0.18,13
F,1359.0,405.0,642.0,655.0,0.3255,0.22,13
M,1669.0,508.0,0.7465,0.67,0.2935,0.19,11
M,1.7405,657.0,0.6205,0.67,297.0,0.2,11
M,1.51,385.0,664.0,695.0,0.4095,0.21,10
M,1.6645,445.0,727.0,695.0,0.36,195.0,11
M,2.0505,355.0,0.8005,0.77,526.0,175.0,11
I,124.0,0.03,63.0,0.28,0.0215,0.07,6
I,0.14,46.0,0.0565,0.33,0.0365,0.08,7
I,0.1695,41.0,0.0835,0.35,0.0355,75.0,6
I,218.0,0.0615,0.0995,0.37,0.0545,0.09,7
I,384.0,0.11,0.1885,0.43,0.0715,115.0,8
I,393.0,0.0885,219.0,435.0,75.0,95.0,6
I,0.3805,115.0,0.1575,0.44,0.0895,0.11,6
M,0.4895,146.0,0.2185,475.0,107.0,0.11,8
M,0.5135,155.0,241.0,475.0,0.1045,0.14,8
I,0.4495,0.14,201.0,0.48,89.0,0.11,8
F,0.8025,259.0,0.35,0.56,0.1615,135.0,9
F,1053.0,0.3,458.0,585.0,217.0,165.0,11
F,0.9945,0.2845,0.4255,585.0,263.0,0.17,11
M,0.3175,92.0,137.0,385.0,68.0,0.1,8
I,344.0,79.0,181.0,0.39,0.0695,85.0,7
I,0.2845,81.0,0.1255,0.39,0.0635,0.1,7
I,0.3035,88.0,0.15,405.0,0.0505,85.0,7
I,499.0,156.0,232.0,475.0,0.0885,115.0,10
M,577.0,0.1535,269.0,0.5,0.1265,125.0,9
F,615.0,0.1765,0.2865,515.0,123.0,125.0,8
M,791.0,0.1815,375.0,0.52,0.18,165.0,10
M,0.8395,0.2405,0.3155,0.55,0.1955,0.13,10
M,0.8675,229.0,0.4,0.56,172.0,155.0,8
F,887.0,249.0,0.37,565.0,239.0,165.0,11
M,966.0,0.2605,439.0,0.59,0.2145,135.0,10
M,1176.0,308.0,0.5255,0.6,0.2875,205.0,9
F,1.0945,296.0,531.0,625.0,261.0,0.15,10
M,1.9485,495.0,0.9455,0.71,0.3765,195.0,12
